Name,OID,Description
pt3070NotifRefenceClockNTPSyncLossAlarm,.1.3.6.1.4.1.18086.3070.64.0.89,NTP Sync Loss
pt3070NotifModulatorTSPrimarySeamlessDelayTooSmallAlarm,.1.3.6.1.4.1.18086.3070.64.0.92,Primary Delay Margin too Small for Seamless and Holdover
pt3070NotifModulatorTSPrimaryDelayMarginTooSmallAlarm,.1.3.6.1.4.1.18086.3070.64.0.93,Primary Delay Margin too Small
pt3070NotifModulatorTSSecondarySeamlessDelayTooSmallAlarm,.1.3.6.1.4.1.18086.3070.64.0.94,Secondary Delay Margin too Small for Seamless and Holdover
pt3070NotifModulatorTSSecondaryDelayMarginTooSmallAlarm,.1.3.6.1.4.1.18086.3070.64.0.95,Secondary Delay Margin too Small
pt3070NotifGNSSUnlockedAlarm,.1.3.6.1.4.1.18086.3070.64.0.98,GNSS Unlocked
pt3070NotifGNSSAntennaFaultAlarm,.1.3.6.1.4.1.18086.3070.64.0.107,GNSS Antenna Fault
pt3070NotifGNSSHoldOverAlarm,.1.3.6.1.4.1.18086.3070.64.0.108,GNSS Holdover
pt3070NotifRefenceClockExternal10MHzHoldOverAlarm,.1.3.6.1.4.1.18086.3070.64.0.109,Ext. 10MHz Ref Holdover
pt3070NotifRefenceClockExternal1PPSHoldOverAlarm,.1.3.6.1.4.1.18086.3070.64.0.110,Ext. 1PPS Ref Holdover
pt3070NotifEDIRx1PackageErrorRationExceededAlarm,.1.3.6.1.4.1.18086.3070.64.0.115,EDI RX1 Package Error Ratio Exceeded
pt3070NotifEDIRx2PackageErrorRationExceededAlarm,.1.3.6.1.4.1.18086.3070.64.0.117,EDI RX2 Package Error Ratio Exceeded
pt3070NotifEDIRx1SyncLossAlarm,.1.3.6.1.4.1.18086.3070.64.0.119,EDI RX1 Signal Loss
pt3070NotifEDIRx2SyncLossAlarm,.1.3.6.1.4.1.18086.3070.64.0.121,EDI RX2 Signal Loss
pt3070NotifInternalBackplaneAlarm,.1.3.6.1.4.1.18086.3070.64.0.129,Backplane Status
pt3070NotifInternalReferenceClockAlarm,.1.3.6.1.4.1.18086.3070.64.0.132,Reference Status
pt3070NotifInternalUpConverterAlarm,.1.3.6.1.4.1.18086.3070.64.0.134,Upconverter Status
pt3070NotifInternalDownConverterAlarm,.1.3.6.1.4.1.18086.3070.64.0.135,Downconverter Status
pt3070NotifInternalMainboardAlarm,.1.3.6.1.4.1.18086.3070.64.0.136,Main board Status
pt3070NotifInternalBatteryAlarm,.1.3.6.1.4.1.18086.3070.64.0.137,Main Board Battery
pt3070NotifInternalFirmware1Alarm,.1.3.6.1.4.1.18086.3070.64.0.139,Firmware 1 Status
pt3070NotifInternalGNSSAlarm,.1.3.6.1.4.1.18086.3070.64.0.142,GNSS Status
pt3070NotifInternalSatelliteAlarm,.1.3.6.1.4.1.18086.3070.64.0.143,Satrecv Status
pt3070NotifInternalEthAlarm,.1.3.6.1.4.1.18086.3070.64.0.146,EtherNet Port Failure
pt3070NotifHWMonitorFPGAAlarm,.1.3.6.1.4.1.18086.3070.64.0.156,Main Board FPGA Temperature
pt3070NotifHWMonitorMainBoardCPUTemperatureAlarm,.1.3.6.1.4.1.18086.3070.64.0.157,Main Board CPU Temperature
pt3070NotifHWMonitorMainBoardTemperatureAlarm,.1.3.6.1.4.1.18086.3070.64.0.158,Main Board Temperature
pt3070NotifHWMonitorLeftFanAlarm,.1.3.6.1.4.1.18086.3070.64.0.159,Left Chassis Fan
pt3070NotifHWMonitorRightFan2Alarm,.1.3.6.1.4.1.18086.3070.64.0.160,Right Chassis Fan
pt3070NotifHWMonitorBackplaneTemperatureAlarm,.1.3.6.1.4.1.18086.3070.64.0.162,Backplane Temperature
pt3070NotifInternalPLLUnlockedAlarm,.1.3.6.1.4.1.18086.3070.64.0.182,PLL Out of Lock
pt3070NotifExternalInput5Alarm,.1.3.6.1.4.1.18086.3070.64.0.183,Alarm Input 5
pt3070NotifExternalInput6Alarm,.1.3.6.1.4.1.18086.3070.64.0.186,Alarm Input 6
pt3070NotifExternalInput7Alarm,.1.3.6.1.4.1.18086.3070.64.0.187,Alarm Input 7
pt3070NotifExternalInput8Alarm,.1.3.6.1.4.1.18086.3070.64.0.188,Alarm Input 8
pt3070NotifInternalCalibrationAlarm,.1.3.6.1.4.1.18086.3070.64.0.198,Calibration Data
pt3070NotifCommnetconfAlarm,.1.3.6.1.4.1.18086.3070.64.0.199,Network Configuration
